,CR03,CR05,CR06,CR08,CR09,CR10,CR15,CR20,CR25,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR79,CR84,CR88,CR90,CR91,CR93,CR94
R49.0,24.415295559376585,22.085900941890785,,19.078999798027553,17.660632931594183,16.45280569450196,14.702848576977548,13.655054833779989,12.89654950870408,12.099807194517712,11.578720274136089,11.210257068990922,10.620703954970303,9.75892801449166,8.986019969895725,8.618174275691974,8.174458119666628,7.934663935712294,7.763200765159086,7.6616904000130095,7.5091633409136,7.290844980200966,7.132878548430338,6.983015363305572,6.890644999182548,6.827420159416576,6.781531998229684
R50.0,24.825574660618585,,,19.435457003205485,17.985196280393065,16.74961031974545,14.952247415538881,13.879848962665735,13.107131998023132,12.284937754636012,11.73771416391062,11.336937473334647,10.716106641022208,9.8385784091872,9.068960742276662,8.56044861262055,8.233463578872513,7.9898491719194595,7.817241869122536,7.715594497218795,7.562349598712194,7.340305870806899,7.166916083840204,7.025274194670197,7.00045000015599,6.889873897504513,6.822546566985753
R51.0,25.241551213273574,,,19.801168522137495,18.3189227593841,17.051135193921148,15.207663500083054,14.107784259826195,13.321105521728136,12.477361838369829,11.906663657484227,11.466875455424194,10.815841673085794,9.925009685401243,9.147357667901904,8.63457039081987,8.293740922305368,8.045092496438354,7.871241990739133,7.769100592777912,7.613353448294882,7.3898596549694435,7.172074575445205,7.080203802046366,6.97841660256641,6.903413469346431,6.862411234983325
R52.0,,,,20.174545000719426,18.660020052979966,17.356940029245894,15.464752136956584,14.338723313385522,13.538451614516045,12.672807662785278,12.075471366918912,11.603116650953607,10.916383781897379,10.010791007468086,9.223029528097607,8.7020914565119,8.353257754297754,8.09910919590758,7.923704626276319,7.821542229297711,7.664334281396886,7.437888844943615,7.2165890199246725,7.115934137498538,7.020426344706246,6.943968670424802,6.901413068906961
R53.0,,,,20.555939740170214,19.009156822408496,17.667984769735746,15.722027716058967,14.570343338570753,13.758444483905638,12.871623148576033,12.247158116274925,11.744758317527392,11.017668995125113,10.099126872519289,9.301793494750036,8.770538790481595,8.412071736957033,8.152923435487125,7.974979557546288,7.872841174583688,7.714518932534634,7.485435901371094,7.261837787076317,7.158220007430984,7.061417310338302,6.983858024507647,6.939674550762611
R54.0,,,,20.946340651940986,19.366938567871735,17.9890425120164,15.98495353328951,14.804493264553717,13.978789643326886,13.072545083653903,12.42268872128674,11.890991923201804,11.126021384936294,10.187286859517506,9.381748196231214,8.838329505889341,8.468995989096562,8.204445877486872,8.025427740780845,7.923236558520119,7.763560596710756,7.531418935548945,7.303972285257355,7.200173711993613,7.102479431743589,7.0214092269669965,6.976885067400035
R55.0,,,,,,18.316047327545547,16.2500094503823,15.041830778263488,14.196756157512882,13.274535187065773,12.602759747280924,12.040597115861807,11.238649949509021,10.270127509444109,9.460870800302885,8.904507112817537,8.526618336304601,8.256266383673031,8.07563123641814,7.9726308382756494,7.810971699733093,7.57528861764345,7.347108420496367,7.239766482461901,7.142266958312051,7.060251997973011,7.012998031433067
R56.0,,,,,,18.65141846989012,16.519422474394705,15.280770407377979,,13.479032418838374,12.784891792321789,12.194327754557452,11.359275994337672,10.353049845480726,9.535807693334132,8.973003601775435,8.583493522522577,8.307112647436213,8.124617716111477,8.021038057888884,7.8581528020406015,7.620156009630383,7.387307064133539,7.280855345018127,7.18071624038841,7.097809160352065,7.048648557134648
R57.0,,,,,,,16.791162838867365,15.52120789884476,,13.684254496705591,12.967762339095799,12.35209856834335,11.480177193639213,10.436229148409618,9.61065976988311,9.037334606194253,8.638564774933869,8.357674263273857,8.17290683361793,8.068555056477097,7.903975719680508,7.662972211460662,7.428172220128129,7.321274706998944,7.21941753622975,7.134067471960837,7.083283664375026
R58.0,,,,,,,17.06610280975128,15.76535718307428,,13.891544756449996,13.152585070348836,12.514918174129951,11.605296633667464,10.521804576046007,9.686348514847129,9.102018081351734,8.693037708079727,8.406045302259356,8.219986343620343,,7.948864565911467,7.7050692258062945,7.467320115217255,7.3581572880845485,7.255902787888023,7.171046087806005,7.117156455717536
R59.0,,,,,,,17.344617659159418,16.012330927469964,,14.100207903700335,13.338399923122548,12.678340152258567,11.740507103938487,10.60934474418206,9.762322259620644,9.16634754795097,8.747070157932388,8.454242436863508,8.266386446789145,,7.992701277471138,7.7461441074914,7.506244351117236,7.39626606739435,7.292500002192978,7.203802031427687,7.150168984334312
