,CR02,CR03,CR05,CR07,CR08,CR10,CR16,CR21,CR26,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR80,CR84,CR88,CR90,CR92,CR94,CR95
R38.0,,,,,15.543893391237496,14.654115471842468,13.07705575276895,11.69918425010783,10.311549132464442,9.37583957502826,8.866791842496461,8.561980403349192,8.39718292854754,8.137759750370154,7.789153488563924,7.417647673343913,7.096750128149993,6.8991328202515305,6.7879429952403925,6.697232523879473,6.56850360422553,6.4012692947664265,6.221910655051426,6.139308292551341,6.05781854514932,6.0081753252369925,
R39.0,,,,,,14.90593899325593,13.291452177654076,11.883422876975931,10.457999910927036,9.502303376245925,8.979046453681217,8.666078553200535,8.495355924349518,8.22897007800162,7.872924605839426,7.492668094261606,7.163453665409133,6.960872307247989,6.847038283987094,6.756394818603689,6.627343685157812,6.45979828194357,6.27984290920653,6.196880499210807,6.112659235110066,6.062489644315221,
R40.0,,,,,,,13.510269037454204,12.070923125746775,10.606152568513942,9.6275288521006,9.09015187645311,8.768838771032804,8.591981476688103,8.31908227836347,7.955342395053849,7.564953505965427,7.228078932799711,7.019650674239946,6.904959691910113,6.8132028531825455,6.684235461634344,6.517851963560547,6.337989453457624,6.252307326122883,6.16589383900674,6.115412362104927,
R41.0,,,,,,,13.73368322441307,12.262614417478156,10.760734050758316,9.752026322171194,9.199382204383062,8.870234168938465,8.686459049479474,8.406575015507602,8.035112775114015,7.635522783198345,7.290216727540343,7.077020696145314,6.960762142471813,6.868310838061324,6.740901660743161,6.574775654155338,6.393244421415178,6.306209455628608,6.219208275942382,6.167097454640487,
R42.0,,,,,,,13.9604631659484,12.459027289484249,10.919499357550563,9.875402912412149,9.309426084614216,8.97118202766315,8.778723524491259,8.4919344440357,8.111668597110388,7.704701110246301,7.35023043680569,7.133047359853313,7.014122593067299,6.922079309456424,6.795612957552672,6.6294461599171495,6.448198153441028,6.359619717202913,6.271619979760128,6.218154499163415,
R43.0,,,,,,,,12.660284285410809,11.08217578431341,9.99989348300927,9.417174849447708,9.069215612167392,8.869619319427198,8.577110830937341,8.188193064181291,7.771209618297872,7.410137953954116,7.188101279400754,7.066416236906866,6.974514792714681,6.848414474941484,6.683142899068781,6.501907623118281,6.41258903337244,6.32229665115193,6.2679156628911,
R44.0,,,,,,,,12.86394416731817,11.25088759366712,10.129270712346544,9.525194613872753,9.166901137832086,8.959682729202559,8.659293514276863,8.262494791684464,7.836977647988667,7.467898267653596,7.240094631220529,7.117066078868551,7.026326838812484,,6.736585808056885,6.554437604104908,6.464265176477583,6.371361670688831,6.318063389182552,
R45.0,,,,,,,,,11.422491586740389,10.262546553554246,9.632589342125144,9.264524394774828,9.048181736508797,8.739878615336746,8.334910324760958,7.900407240286819,7.523208887525578,7.291629830120678,7.168119739147141,,,6.788681747991808,6.605681106057674,6.514377676906618,6.420989197997873,6.366557821926671,
R46.0,,,,,,,,,11.600057573319564,10.400499930210128,9.737621570136143,9.360861129045748,9.135167348126837,8.819263420531033,8.406267132906493,7.962985780553807,7.577633040277194,7.341789167251424,7.215903859987216,,,6.839481745177197,6.657143142133298,6.564545280515848,6.468986859370261,6.414731582756572,
R47.0,,,,,,,,,11.781170394350514,10.54411216593382,9.844361135289134,9.456331520545422,9.221949913628048,8.898240389512068,8.476475288066284,8.023730180980195,7.6310760083791,7.391235046599232,7.263361788377336,,,6.888964461151121,6.706778917700189,6.613703476384298,6.516862074801897,,
R48.0,,,,,,,,,,10.6917757973246,9.953539351225086,9.551207286504614,9.307752138084531,8.976372277280158,8.544976133143042,8.083549481251087,7.683441339178058,7.439068507893733,7.310634680470392,,,6.938588422820888,6.75605744889598,6.662290494057146,6.563577163544188,,
R49.0,,,,,,,,,,10.844195091248793,10.067781413122262,9.645350922169568,9.392328623898427,9.052661286318823,8.61240438351906,8.142879530813218,7.734445200753608,7.485939937476374,7.355876221205898,,,6.9878584542654245,6.804077072838242,6.709687051162457,6.6097328101034805,,
R50.0,,,,,,,,,,11.002956413556712,10.188761679884152,9.739553167844472,9.477022377878722,9.12748442151232,8.679957102357598,8.200967820147977,7.785446947946038,7.532939488149872,7.401116355779537,,,7.034685562862072,6.851514154716035,6.755899305292253,6.655402820122595,,
R51.0,,,,,,,,,,11.165412558738057,10.313983897585834,9.831615088361772,9.560716720770037,9.203274463683002,8.746175241537603,8.258434321786856,7.835892629031784,7.579745896764079,7.445777198811264,,,7.08173687347513,6.898056789739751,6.801934927688652,6.699535417201902,,
R52.0,,,,,,,,,,,10.444062805825268,9.925029132584466,9.643827733673614,9.277062829575026,8.811104729422215,8.315302253366758,7.884927351065603,7.6256299975302495,7.489017741170606,,,7.127265616720413,6.9439780246921865,6.848205720343018,6.744236526944562,,
R53.0,,,,,,,,,,,10.5793884679867,10.021983925430003,9.725479170108006,9.3502173493649,8.876973033411392,8.371022089165,7.933831542921606,7.670295476445192,,,,7.172241315911261,6.988348231025096,6.892464248814415,,,
R54.0,,,,,,,,,,,10.720586121588802,10.122351947204894,9.806452125566643,9.42272777235588,8.941271384829545,8.426806060446214,7.982137539414783,7.713546664421326,,,,7.216781827772843,7.031917615396815,6.935485089349454,,,
R55.0,,,,,,,,,,,10.867114420808791,10.225475358609089,9.886850918976585,9.494259187580475,9.003561096765782,8.481271399207749,8.029279947746193,7.756406426155982,,,,,7.075500963329791,6.978943998537469,,,
R56.0,,,,,,,,,,,11.017585469892577,10.331678668689475,9.966306339761466,9.565559830320854,9.066933180590672,8.535702340179391,8.07649950760289,7.800438922792212,,,,,7.117532038046233,7.020989991524506,,,
R57.0,,,,,,,,,,,,10.4412839889,10.04674080255822,9.635180907662251,9.127929247237995,8.589346040664978,8.123018674916711,7.84223787002936,,,,,7.159729483413482,7.062276359274854,,,
R58.0,,,,,,,,,,,,10.554966051633354,10.128519759237236,9.70480297195859,9.189254761595311,8.64232270740996,8.168665911086363,7.88442023488224,,,,,7.2006617641710005,7.1037950914890695,,,
R59.0,,,,,,,,,,,,10.672572708525976,10.211679157293982,9.77441881626316,9.250181259218705,8.694792147997813,8.213215341569903,7.925649006509507,,,,,7.240643727292306,,,,
R60.0,,,,,,,,,,,,10.793118379401704,10.295587784945932,9.841305686131488,9.310133134440576,8.746892434639609,8.258271583905632,7.965529524104524,,,,,7.279860720325495,,,,
R61.0,,,,,,,,,,,,,10.381579227993566,9.910074916390954,9.370268201948136,8.79734594124779,8.302295050222638,8.006279780758835,,,,,7.318881117599504,,,,
R62.0,,,,,,,,,,,,,10.46972500113387,9.976444133251402,9.429023934166322,8.848935310996932,8.346628482540464,8.046160038450536,,,,,,,,,
R63.0,,,,,,,,,,,,,10.55842424181583,10.042896889697769,9.48689748978964,8.8985673322767,8.389553166614352,8.086095464806778,,,,,,,,,
R64.0,,,,,,,,,,,,,10.648742891486974,10.109274820445767,9.544846042580016,8.948984705654356,8.432943616189931,,,,,,,,,,
R65.0,,,,,,,,,,,,,10.74037857400937,10.174036659651392,9.602265906642725,8.998287821617778,8.475263085073003,,,,,,,,,,
R66.0,,,,,,,,,,,,,,10.238008100068374,9.658717833819791,9.047325233104564,8.517405863196839,,,,,,,,,,
