,CR03,CR06,CR10,CR20,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR79,CR84,CR88,CR90,CR93
R35.0,0.5051825478998685,0.5074922629785746,0.49736520099853504,0.5809082341323778,0.7086025409567308,0.7799395896692166,0.7744601627996011,0.7289706213005039,0.6707372789046318,0.6345671594350698,0.6062092027651281,0.5902904690331656,0.602629160385131,0.6106816520004674,0.6165970428529205,0.6200226629584453,0.6047498187105845,0.5794940861785545,0.5701332679448362,0.5685628136226173
R36.0,0.5050032784101254,0.507162879693153,0.49392694169891815,0.5705961456693618,0.6916527945915117,0.7627040965891373,0.759382542189476,0.7155896281733857,0.6583777714922144,0.6237997788112056,0.5982170273896613,0.5824727142440742,0.5940936875787357,0.6014546461396135,0.6062845399749661,0.6092876356564093,0.5949589475271826,0.5695357323867336,0.5610085201580152,0.5609228545015661
R37.0,0.5047829327329941,0.5064068004548794,0.49106211946207706,0.5611952095699463,0.6755757957897409,0.7461333761129806,0.7448314189999952,0.7028062740783746,0.6467134617625274,0.613713862322029,0.5898987652969105,0.5762941886865892,0.5861098516960934,0.5927444401488596,0.5965480897390145,0.5991301897541842,0.5857377298925441,0.5602452981741344,0.5529727432768402,0.5539081008740989
R38.0,0.5047083464279428,0.5059575569475104,0.48888514767633,0.5528111594565982,0.6603411447527909,0.7300844206605601,0.7307257499704845,0.6905457614551709,0.6356787883985054,0.6042852229725382,0.5831622331341378,0.5696432871325823,0.5786539598345909,0.5845618619732973,0.587374878465194,0.5895000252763212,0.5770738976093621,0.5514960465555124,0.544945885844407,0.5341510005810123
R39.0,0.5046261029796265,0.5052525182329589,0.4873453611085998,0.5452869795967179,0.6459403351657944,0.7145594407824706,0.7171537530227745,0.6788312807335766,0.6252583910709869,0.5955234163621979,0.5758137155751677,0.5643748382210408,0.5717137096297719,0.5768918636366523,0.5787458970313271,0.580343229488873,0.5689577167243028,0.5434309694529488,0.5380983030520639,0.5037073801608346
R40.0,0.5046345170392104,0.5047967224070408,0.4855842916688376,0.5383872140271564,0.6323714911829337,0.6995802693092852,0.7040293890561754,0.667609032278515,0.6154339528999814,0.5873806338637794,0.5701627409435338,0.5587502161801949,0.5652658864221956,0.5697015116054285,0.5706431199965949,0.5717193783682528,0.5613549239442359,0.5358882253575076,0.5311043124114858,0.47513649902162686
R41.0,0.5047103692367365,0.5042735786843897,0.4844880081465538,0.5321648791620777,0.619847959888588,0.6852051000946416,0.6913988147639271,0.656896350189249,0.6061660020159289,0.5796999631848987,0.5639549934964674,0.5542488948441171,0.5592921781335894,0.5629785111263409,0.5631217948334285,0.5636397982271194,0.5541841263143747,0.5290199948141506,0.5251610763104815,0.4477564922420703
R42.0,0.5025645222131605,0.5039163538720239,0.4836752848222828,0.5266775186509539,0.6081102547103141,0.6714396302642235,0.6792818737230986,0.6467055418063167,0.5975026036770182,0.5730922479017987,0.5589490601053757,0.5494858413096022,0.553782121918561,0.5566986820078044,0.5561022429998841,0.556141771222558,0.5475733878928365,0.5227097585093394,0.5193226170063788,0.4218737937596638
R43.0,0.4961701578156254,0.5036212524278258,0.48251238622529635,0.5219851105822453,0.5972403797482047,0.6582861736687048,0.6675870744563231,0.6369478377355948,0.589339031200876,0.566013548873812,0.5537752313610799,0.5456321360417268,0.5486961178634336,0.5508443129474224,0.5495583679039063,0.5491347440125738,0.541471665897665,0.5170306852264093,0.5142233162882418,0.39765741521879
R44.0,0.4855893290526152,0.5034182346972363,0.48195150690573907,0.517830399772872,0.587053554757375,0.6456604799943406,0.6563823592496305,0.6276770320204854,0.5816869115376025,0.5603388496109558,0.549469272913584,0.5416147925671522,0.5440128764836365,0.5453905712928898,0.5434704821785801,0.5426042890131796,0.5358510349408149,0.5119362853056565,0.5094935409833464,0.37474864066668356
