,CR03,CR06,CR10,CR20,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR79,CR84,CR88,CR90,CR93
R40.0,0.3360435010591449,0.3034682856018961,0.34596044730819847,0.4792480754835432,0.499386034824851,0.49948395274912016,0.5000139101990144,0.5000232410716665,0.5011571117943816,0.5040906045249861,0.5041377339309046,0.5045357765288506,0.5031656929561873,0.5019155292544013,0.5006525812610881,0.5003924041906413,0.5000988023004631,0.49940333408843124,0.5181002316134617,0.4973415024164927
R41.0,0.29037977699026657,0.2549956508963076,0.30137301347342055,0.4612704830034924,0.49943614960012966,0.499828187926899,0.4999645533213315,0.49964410518995206,0.499800429837454,0.5019045586439563,0.5023642842460335,0.50273943172436,0.5014340315678242,0.5011670107546409,0.5001665257900147,0.5000377414019169,0.5003324222820481,0.49920799905457264,0.5181578113018693,0.49735945682853344
R42.0,0.23945832417270607,0.20096311546089218,0.2513221293943866,0.43766770619548995,0.49655477231683265,0.49966671252011013,0.49991331573437703,0.49956763893760237,0.4993363504515836,0.500901576440793,0.5013266802164151,0.5015817763602062,0.5012460651564061,0.5004242200019324,0.49973710099487595,0.5000745994725015,0.5001427457357406,0.49900468979903595,0.5180132476209977,0.49734988143512315
R43.0,,,,0.40837940333196693,0.4882625207126132,0.4992416208849619,0.49998738030965384,0.4995307402455618,0.49907512861612435,0.5001163115487091,0.5009170657597448,0.5007583961716718,0.5003541008317087,0.5000476723214853,0.4997146691890645,0.49994657093889056,0.5001606133550263,0.4987479957806989,0.5180616108780619,0.4974309421901575
R44.0,,,,0.3732804093045624,0.4742137355073022,0.49559386925445204,0.49993952699150224,0.49947581795619045,0.4991050432589473,0.49938824817891775,0.5004761770222157,0.5009632668778224,0.5003133909547053,0.500492531626236,,0.49994285192488386,0.5003372815298205,0.4986394965205427,0.5179785456436234,0.4975654312695143
R45.0,,,,0.33252920862956775,0.45440754163918295,0.48608118135365014,0.49986356099246987,0.4994046476123486,0.4990121199314846,0.49984055389784016,0.5011401025929451,0.5005934062448275,0.5003059988084941,0.500287237963295,,,0.500185959184993,0.49852710551664386,0.5178482499831819,0.4976101622287209
R46.0,,,,0.2857813111523591,0.4288382035377474,0.4709192524617166,0.49987648831471554,0.49946416705175634,0.49906709333548627,0.4995254831609002,0.5006823543483132,0.5007095264254932,0.5001103923465451,0.5002830875741663,,,0.5003132700661654,0.49838155035243653,0.5179430121109029,0.4978372640999717
R47.0,,,,0.23341692415925225,0.3975793915947399,0.44997905683650297,0.49767674971104164,0.4995847196465234,0.49920819454487214,0.5000416404613258,0.5011350875680546,0.5006286650056121,0.5004375642239676,0.5002838630604579,,,0.5003797230781762,0.4983770058803651,0.5178977776786127,0.49796258294665396
R48.0,,,,,0.36052050713644634,0.42339159896646955,0.4896723990750892,0.49966788611241325,0.49937748349344646,0.4996145108344915,0.5008470085254687,0.5005931655268918,0.500018493310106,0.5003380335713761,,,0.5002439439221606,0.4983578280406845,0.5178520790336524,0.4980066761568312
R49.0,,,,,0.31756259379576346,0.39085291177062487,0.47569199540350404,0.499729421208946,0.4995896170761687,0.49968884403132713,0.5008106937708722,0.5005915270583038,0.5002589746281921,0.5003377452540493,,,0.50050268083711,0.4983565908386959,0.5180024638724109,0.4981426203051496
